complaint_id,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company,state,product_category
10000483,2025-08-12,Citi Double Cash,,Account closure,Closed without explanation,"The rewards program on my Citi Double Cash card was changed without notice. Discover devalued the points by nearly 49%, making the annual fee of $550 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",Discover,GA,Credit Card
10002221,2024-05-05,PayPal,,Fraud/scam,Scam transaction,"My account was frozen by Venmo after I made a PayPal transfer of $250. They claimed the transaction was flagged for suspicious activity, but I was simply sending money to my family overseas, which I do every month. It took 8 weeks to get my account unfrozen, and I had to provide extensive documentation including pay stubs and tax returns.",Venmo,PA,Money Transfer
10000942,2024-04-27,Upstart Loan,,Payment processing error,Payment not applied correctly,"I tried to make an extra payment on my Upstart Loan from Goldman Sachs to pay down the principal faster. Their system automatically applied it to future payments instead of the principal balance. After calling 3 times, each representative gave me different instructions. I am paying more interest than necessary because they will not properly apply my payments.",Goldman Sachs,NY,Personal Loan
10001963,2023-10-26,PayPal,,Wrong recipient,Sent to wrong person,Zelle charged me a $39 fee for a PayPal transfer that was advertised as free. The fee was hidden in the exchange rate markup and only visible after carefully comparing the rates. The actual exchange rate applied was 26% worse than the market rate. This is deceptive and the total hidden cost was $150.,Zelle,PA,Money Transfer
10000621,2024-11-05,Amex Gold,,Rewards not credited,Sign-up bonus not received,"Citibank charged me a $35 late fee on my Amex Gold card even though I made my payment on time. My bank records show the payment was initiated 1 days before the due date. When I called to dispute, they said the payment was received one day late due to processing time. This is unacceptable — I should not be penalized for their slow processing system.",Citibank,NY,Credit Card
10000931,2023-08-07,Prosper Loan,,Repayment difficulty,Cannot afford payments,"I took out a personal loan of $100 with Prosper through their Prosper Loan program. The advertised rate was 9.0% but after approval I was given 24.3%. The terms were buried in fine print and the loan officer rushed me through the signing process. I am now paying $250 per month, which is $30 more than what was originally quoted.",Prosper,OK,Personal Loan
10001392,2024-09-28,Synchrony Savings,,Unauthorized access,Security breach,"Goldman Sachs charged me a $29 monthly maintenance fee on my Synchrony Savings that was supposed to be free. When I called to dispute, they said I did not maintain the minimum balance of $1500, even though my statements show I was always above that threshold. I want all fees refunded and a guarantee this will not happen again.",Goldman Sachs,TN,Savings Account
10000434,2024-07-18,Capital One Venture,,Late fee,Payment made on time,"I applied for the Capital One Venture card specifically for the 60000 point sign-up bonus. I met all the spending requirements within the specified timeframe, but American Express has refused to credit my bonus points. I have called 9 times over the past 3 months and each representative tells me something different. I have all receipts and statements showing I qualified.",American Express,MO,Credit Card
10002155,2024-05-06,Venmo,,Fraud/scam,Scam transaction,I accidentally sent $2000 to the wrong person through Venmo via Zelle. I realized the error within 82 minutes and immediately contacted them to cancel. They said the transaction was already completed and they cannot reverse it. They suggested I 'ask the recipient nicely' to send it back. This is an unacceptable response for such a large amount.,Zelle,SC,Money Transfer
10001646,2024-09-09,Marcus Savings,,Low interest rate,Rate lower than advertised,"My Marcus Savings with Goldman Sachs was accessed by someone who changed my contact information and attempted to transfer $2000 out of my account. When I reported this, Goldman Sachs took 2 weeks to investigate and temporarily restricted my access. I am concerned about the security of their online banking platform and how this person gained access.",Goldman Sachs,WI,Savings Account
10000694,2024-05-13,Discover It,,Billing dispute,Charges not recognized,"I have been a loyal Discover It cardholder with Discover for over 8 years. Recently, I noticed my interest rate was increased from 6.5% to 28.1% without adequate explanation. I have excellent payment history and no late payments. Other companies are offering much lower rates. I am considering closing this account if the rate is not adjusted.",Discover,GA,Credit Card
10001616,2024-08-09,Synchrony Savings,,Account frozen,Frozen without warning,"I opened a Synchrony Savings with Synchrony because they advertised a 23.8% APY. After three months, the rate was quietly dropped to 4.4% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $1000 into this account specifically for the higher rate.",Synchrony,WI,Savings Account
10001235,2024-10-10,Ally Savings,,Unauthorized access,Security breach,"My Ally Savings with Chase was accessed by someone who changed my contact information and attempted to transfer $2000 out of my account. When I reported this, Chase took 4 weeks to investigate and temporarily restricted my access. I am concerned about the security of their online banking platform and how this person gained access.",Chase,MN,Savings Account
10001212,2024-01-27,Ally Savings,,Withdrawal limit,Cannot access funds,"Ally Bank closed my Ally Savings account without warning, citing 'business reasons.' I had $750 in the account and it took 4 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 2 years with no suspicious activity on the account.",Ally Bank,AL,Savings Account
10000801,2023-03-10,Chase Sapphire,,Billing dispute,,,American Express,CA,Credit Card
10001863,2025-04-09,Marcus Savings,,Account fees,,,Synchrony,NY,Savings Account
10001821,2023-01-22,Discover Savings,,Unauthorized access,,,Ally Bank,OR,Savings Account
10000679,2023-08-01,Capital One Venture,,Unauthorized charge,Card not in possession,"The rewards program on my Capital One Venture card was changed without notice. Chase devalued the points by nearly 44%, making the annual fee of $250 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",Chase,OK,Credit Card
10000030,2023-03-17,Discover It,,Account closure,Closed without explanation,"The rewards program on my Discover It card was changed without notice. Discover devalued the points by nearly 34%, making the annual fee of $395 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",Discover,MD,Credit Card
10001423,2025-08-21,Ally Savings,,Account fees,Unexpected maintenance fees,"I opened a Ally Savings with Synchrony because they advertised a 9.9% APY. After three months, the rate was quietly dropped to 9.1% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $1000 into this account specifically for the higher rate.",Synchrony,SC,Savings Account
10001221,2025-11-02,Chase Savings,,Unauthorized access,Security breach,"I opened a Chase Savings with Ally Bank because they advertised a 16.4% APY. After three months, the rate was quietly dropped to 4.2% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $150 into this account specifically for the higher rate.",Ally Bank,NJ,Savings Account
10002274,2024-02-19,Venmo,,Failed transfer,,,PayPal,OR,Money Transfer
10002294,2023-08-23,Wire Transfer,,Delayed transfer,,,Venmo,CT,Money Transfer
10001081,2024-02-08,SoFi Personal Loan,,Hidden fees,Fees not disclosed at signing,"I have been making regular payments on my SoFi Personal Loan from Prosper for 5 months. Last month, they claimed they did not receive my payment even though my bank shows it was debited. They charged me a $35 late fee and reported a missed payment to the credit bureaus, dropping my score by 28 points. I need this corrected immediately.",Prosper,NC,Personal Loan
10001118,2023-09-23,Marcus Loan,,Repayment difficulty,Cannot afford payments,"LendingClub sold my Marcus Loan loan to a third-party debt collector without notifying me. The collector is now adding additional fees and interest that were not part of my original agreement. They call me 4 times per day, including on weekends, and have been rude and threatening. This is harassment and a violation of fair debt collection practices.",LendingClub,MD,Personal Loan
10001986,2025-12-26,Venmo,,Account frozen,Frozen without warning,I sent $5000 via Venmo through Venmo to pay my landlord. The money was deducted from my account but never received by the recipient. It has been 8 weeks and Venmo has not been able to locate the funds or provide a refund. I am now at risk of eviction because my rent appears unpaid.,Venmo,VA,Money Transfer
10001667,2023-03-11,Discover Savings,,Poor customer service,Long wait times,"My Discover Savings with Discover was accessed by someone who changed my contact information and attempted to transfer $750 out of my account. When I reported this, Discover took 2 weeks to investigate and temporarily restricted my access. I am concerned about the security of their online banking platform and how this person gained access.",Discover,MI,Savings Account
10002279,2025-01-14,Zelle,,Delayed transfer,,,Bank of America,MO,Money Transfer
10001331,2024-04-13,Ally Savings,,Account fees,Unexpected maintenance fees,"Chase closed my Ally Savings account without warning, citing 'business reasons.' I had $1500 in the account and it took 7 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 10 years with no suspicious activity on the account.",Chase,CO,Savings Account
10000433,2023-12-11,Capital One Venture,,Unauthorized charge,Card not in possession,"My Capital One Venture card from American Express suddenly had its credit limit reduced from $20000 to $2000 without any prior notification. I have never missed a payment and my credit score is above 750. When I called to ask why, the representative could not give me a clear answer. This reduction has negatively affected my credit utilization ratio and dropped my score by 51 points.",American Express,MO,Credit Card
10000941,2025-08-10,Prosper Loan,,Hidden fees,Fees not disclosed at signing,"I took out a personal loan of $3000 with SoFi through their Prosper Loan program. The advertised rate was 3.9% but after approval I was given 17.7%. The terms were buried in fine print and the loan officer rushed me through the signing process. I am now paying $500 per month, which is $100 more than what was originally quoted.",SoFi,MD,Personal Loan
10000760,2024-07-26,Chase Sapphire,,High interest rate,Rate increased without notice,"My Chase Sapphire card from Citibank suddenly had its credit limit reduced from $20000 to $1500 without any prior notification. I have never missed a payment and my credit score is above 750. When I called to ask why, the representative could not give me a clear answer. This reduction has negatively affected my credit utilization ratio and dropped my score by 45 points.",Citibank,TN,Credit Card
10001055,2024-11-15,LendingClub Loan,,High interest rate,Rate increased without notice,"I tried to make an extra payment on my LendingClub Loan from Prosper to pay down the principal faster. Their system automatically applied it to future payments instead of the principal balance. After calling 8 times, each representative gave me different instructions. I am paying more interest than necessary because they will not properly apply my payments.",Prosper,CO,Personal Loan
10000462,2025-10-04,Capital One Venture,,Rewards not credited,Sign-up bonus not received,"I have been a loyal Capital One Venture cardholder with Capital One for over 13 years. Recently, I noticed my interest rate was increased from 3.4% to 18.5% without adequate explanation. I have excellent payment history and no late payments. Other companies are offering much lower rates. I am considering closing this account if the rate is not adjusted.",Capital One,MI,Credit Card
10001984,2023-08-15,Wire Transfer,,Account frozen,Frozen without warning,Western Union charged me a $35 fee for a Wire Transfer transfer that was advertised as free. The fee was hidden in the exchange rate markup and only visible after carefully comparing the rates. The actual exchange rate applied was 50% worse than the market rate. This is deceptive and the total hidden cost was $75.,Western Union,MO,Money Transfer
10000730,2023-12-25,Discover It,,Rewards not credited,Sign-up bonus not received,"I have been a loyal Discover It cardholder with American Express for over 2 years. Recently, I noticed my interest rate was increased from 4.8% to 26.6% without adequate explanation. I have excellent payment history and no late payments. Other companies are offering much lower rates. I am considering closing this account if the rate is not adjusted.",American Express,FL,Credit Card
10001935,2025-10-17,PayPal,,Fraud/scam,Scam transaction,Venmo charged me a $35 fee for a PayPal transfer that was advertised as free. The fee was hidden in the exchange rate markup and only visible after carefully comparing the rates. The actual exchange rate applied was 46% worse than the market rate. This is deceptive and the total hidden cost was $150.,Venmo,OH,Money Transfer
10000964,2025-09-14,Upstart Loan,,Payment processing error,Payment not applied correctly,"Upstart sold my Upstart Loan loan to a third-party debt collector without notifying me. The collector is now adding additional fees and interest that were not part of my original agreement. They call me 7 times per day, including on weekends, and have been rude and threatening. This is harassment and a violation of fair debt collection practices.",Upstart,PA,Personal Loan
10002096,2025-05-22,PayPal,,High fees,Hidden exchange fees,"I was contacted by someone claiming to be from my bank's fraud department. They convinced me to send $50 via PayPal to 'secure' my account. I later realized this was a scam and immediately contacted Venmo. They refused to reverse the transaction, saying PayPal transfers are final. I believe Venmo should have better fraud protection mechanisms.",Venmo,NC,Money Transfer
10001084,2024-02-11,LendingClub Loan,,High interest rate,Rate increased without notice,"Upstart sold my LendingClub Loan loan to a third-party debt collector without notifying me. The collector is now adding additional fees and interest that were not part of my original agreement. They call me 9 times per day, including on weekends, and have been rude and threatening. This is harassment and a violation of fair debt collection practices.",Upstart,SC,Personal Loan
10001952,2023-09-24,Venmo,,Delayed transfer,Transfer taking too long,"My account was frozen by Zelle after I made a Venmo transfer of $1500. They claimed the transaction was flagged for suspicious activity, but I was simply sending money to my family overseas, which I do every month. It took 1 weeks to get my account unfrozen, and I had to provide extensive documentation including pay stubs and tax returns.",Zelle,UT,Money Transfer
10001436,2024-04-03,Ally Savings,,Low interest rate,Rate lower than advertised,I tried to withdraw $500 from my Ally Savings at Discover and was told my account was frozen pending a security review. No one informed me of any issues beforehand. I had bills due and no access to my own money for 2 weeks. The customer service was unhelpful and could not tell me when the review would be completed.,Discover,UT,Savings Account
10001969,2024-12-01,Venmo,,Delayed transfer,Transfer taking too long,"My account was frozen by Venmo after I made a Venmo transfer of $250. They claimed the transaction was flagged for suspicious activity, but I was simply sending money to my family overseas, which I do every month. It took 4 weeks to get my account unfrozen, and I had to provide extensive documentation including pay stubs and tax returns.",Venmo,NY,Money Transfer
10002234,2023-03-27,PayPal,,High fees,Hidden exchange fees,"I initiated an international transfer of $3000 through Western Union's PayPal service. The estimated delivery was 2 days, but after 5 weeks the money has still not arrived. Each time I call, they say it is 'being processed.' Meanwhile, the exchange rate has changed significantly, costing me an additional $50 in value.",Western Union,OR,Money Transfer
10001707,2023-11-09,Marcus Savings,,Account frozen,Frozen without warning,"Chase closed my Marcus Savings account without warning, citing 'business reasons.' I had $1000 in the account and it took 6 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 11 years with no suspicious activity on the account.",Chase,IL,Savings Account
10000112,2024-03-05,Capital One Venture,,High interest rate,Rate increased without notice,"The rewards program on my Capital One Venture card was changed without notice. American Express devalued the points by nearly 45%, making the annual fee of $550 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",American Express,MD,Credit Card
10001294,2024-10-04,Chase Savings,,Account frozen,Frozen without warning,"Discover charged me a $29 monthly maintenance fee on my Chase Savings that was supposed to be free. When I called to dispute, they said I did not maintain the minimum balance of $300, even though my statements show I was always above that threshold. I want all fees refunded and a guarantee this will not happen again.",Discover,NY,Savings Account
10000252,2023-09-05,Citi Double Cash,,Billing dispute,Charges not recognized,"My Citi Double Cash card from Capital One suddenly had its credit limit reduced from $15000 to $3000 without any prior notification. I have never missed a payment and my credit score is above 750. When I called to ask why, the representative could not give me a clear answer. This reduction has negatively affected my credit utilization ratio and dropped my score by 26 points.",Capital One,TN,Credit Card
10000917,2023-10-23,Upstart Loan,,Debt collection harassment,Excessive calls,"Upstart sold my Upstart Loan loan to a third-party debt collector without notifying me. The collector is now adding additional fees and interest that were not part of my original agreement. They call me 10 times per day, including on weekends, and have been rude and threatening. This is harassment and a violation of fair debt collection practices.",Upstart,SC,Personal Loan
10000230,2025-04-09,Discover It,,Credit limit reduction,Reduced without notice,I noticed a charge of $1500 on my Discover It statement from 2024-08-03. I did not authorize this transaction and have been trying to resolve it with Discover for 4 weeks. They keep transferring me between departments and no one takes responsibility. I have provided documentation proving I was not at the merchant location. This is extremely frustrating and I need this resolved immediately.,Discover,CT,Credit Card
10000600,2025-10-03,Capital One Venture,,Unauthorized charge,Card not in possession,"Capital One charged me a $29 late fee on my Capital One Venture card even though I made my payment on time. My bank records show the payment was initiated 3 days before the due date. When I called to dispute, they said the payment was received one day late due to processing time. This is unacceptable — I should not be penalized for their slow processing system.",Capital One,MA,Credit Card
10000291,2023-12-09,Discover It,,Credit limit reduction,Reduced without notice,"My Discover It card from Discover suddenly had its credit limit reduced from $20000 to $1500 without any prior notification. I have never missed a payment and my credit score is above 750. When I called to ask why, the representative could not give me a clear answer. This reduction has negatively affected my credit utilization ratio and dropped my score by 69 points.",Discover,MN,Credit Card
10000423,2025-02-08,Capital One Venture,,Credit limit reduction,Reduced without notice,"Capital One charged me a $50 late fee on my Capital One Venture card even though I made my payment on time. My bank records show the payment was initiated 4 days before the due date. When I called to dispute, they said the payment was received one day late due to processing time. This is unacceptable — I should not be penalized for their slow processing system.",Capital One,GA,Credit Card
10001365,2025-08-06,Chase Savings,,Unauthorized access,Security breach,"Chase closed my Chase Savings account without warning, citing 'business reasons.' I had $3000 in the account and it took 2 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 7 years with no suspicious activity on the account.",Chase,GA,Savings Account
10002130,2024-12-06,PayPal,,Failed transfer,Money not received,I accidentally sent $3000 to the wrong person through PayPal via PayPal. I realized the error within 61 minutes and immediately contacted them to cancel. They said the transaction was already completed and they cannot reverse it. They suggested I 'ask the recipient nicely' to send it back. This is an unacceptable response for such a large amount.,PayPal,CT,Money Transfer
10001621,2024-12-24,Discover Savings,,Account fees,Unexpected maintenance fees,"I have been trying to reach Ally Bank's customer service about an issue with my Discover Savings for 2 weeks. Wait times exceed 89 minutes, and I have been disconnected 4 times after waiting. When I finally got through, the representative could not resolve my issue and told me to call back. This level of service is completely unacceptable for a bank holding my savings.",Ally Bank,KY,Savings Account
10002074,2024-06-18,Western Union,,High fees,Hidden exchange fees,"I was contacted by someone claiming to be from my bank's fraud department. They convinced me to send $2000 via Western Union to 'secure' my account. I later realized this was a scam and immediately contacted Zelle. They refused to reverse the transaction, saying Western Union transfers are final. I believe Zelle should have better fraud protection mechanisms.",Zelle,CT,Money Transfer
10002286,2023-12-06,Zelle,,High fees,,,PayPal,TX,Money Transfer
10000135,2023-07-22,Chase Sapphire,,Account closure,Closed without explanation,"Someone made 5 fraudulent purchases on my Chase Sapphire card totaling $12000. I reported this to American Express immediately and they opened an investigation. After 2 weeks, they denied my fraud claim saying the transactions appeared legitimate. I have filed a police report and have evidence that I was in a different state when these transactions occurred.",American Express,NY,Credit Card
10001615,2023-11-05,Marcus Savings,,Low interest rate,Rate lower than advertised,"I opened a Marcus Savings with Goldman Sachs because they advertised a 22.1% APY. After three months, the rate was quietly dropped to 6.7% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $500 into this account specifically for the higher rate.",Goldman Sachs,MI,Savings Account
10000611,2024-01-07,Discover It,,Billing dispute,Charges not recognized,"The rewards program on my Discover It card was changed without notice. Chase devalued the points by nearly 38%, making the annual fee of $250 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",Chase,PA,Credit Card
10002071,2024-01-12,Zelle,,Delayed transfer,Transfer taking too long,"I initiated an international transfer of $150 through Western Union's Zelle service. The estimated delivery was 7 days, but after 3 weeks the money has still not arrived. Each time I call, they say it is 'being processed.' Meanwhile, the exchange rate has changed significantly, costing me an additional $150 in value.",Western Union,WI,Money Transfer
10000197,2023-02-03,Citi Double Cash,,Credit limit reduction,Reduced without notice,"I applied for the Citi Double Cash card specifically for the 60000 point sign-up bonus. I met all the spending requirements within the specified timeframe, but American Express has refused to credit my bonus points. I have called 6 times over the past 3 months and each representative tells me something different. I have all receipts and statements showing I qualified.",American Express,MD,Credit Card
10000322,2023-06-25,Chase Sapphire,,Unauthorized charge,Card not in possession,"I applied for the Chase Sapphire card specifically for the 50000 point sign-up bonus. I met all the spending requirements within the specified timeframe, but American Express has refused to credit my bonus points. I have called 6 times over the past 5 months and each representative tells me something different. I have all receipts and statements showing I qualified.",American Express,WA,Credit Card
10001367,2025-05-09,Discover Savings,,Poor customer service,Long wait times,"Chase closed my Discover Savings account without warning, citing 'business reasons.' I had $1500 in the account and it took 6 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 7 years with no suspicious activity on the account.",Chase,MO,Savings Account
10000479,2023-09-22,Chase Sapphire,,High interest rate,Rate increased without notice,"My Chase Sapphire card from Chase suddenly had its credit limit reduced from $15000 to $1000 without any prior notification. I have never missed a payment and my credit score is above 750. When I called to ask why, the representative could not give me a clear answer. This reduction has negatively affected my credit utilization ratio and dropped my score by 43 points.",Chase,NC,Credit Card
10001737,2025-05-20,Marcus Savings,,Unauthorized access,Security breach,"I opened a Marcus Savings with Discover because they advertised a 13.5% APY. After three months, the rate was quietly dropped to 3.1% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $2500 into this account specifically for the higher rate.",Discover,NC,Savings Account
10000219,2025-10-03,Discover It,,Billing dispute,Charges not recognized,"The rewards program on my Discover It card was changed without notice. Discover devalued the points by nearly 25%, making the annual fee of $150 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",Discover,NY,Credit Card
10000101,2023-09-12,Discover It,,Rewards not credited,Sign-up bonus not received,I noticed a charge of $150 on my Discover It statement from 2025-07-03. I did not authorize this transaction and have been trying to resolve it with Chase for 1 weeks. They keep transferring me between departments and no one takes responsibility. I have provided documentation proving I was not at the merchant location. This is extremely frustrating and I need this resolved immediately.,Chase,LA,Credit Card
10002004,2023-05-01,Zelle,,High fees,Hidden exchange fees,"I initiated an international transfer of $2000 through Western Union's Zelle service. The estimated delivery was 5 days, but after 8 weeks the money has still not arrived. Each time I call, they say it is 'being processed.' Meanwhile, the exchange rate has changed significantly, costing me an additional $150 in value.",Western Union,MN,Money Transfer
10001833,2024-07-01,Synchrony Savings,,Poor customer service,,,Goldman Sachs,CO,Savings Account
10000424,2025-10-13,Amex Gold,,Unauthorized charge,Card not in possession,"I applied for the Amex Gold card specifically for the 50000 point sign-up bonus. I met all the spending requirements within the specified timeframe, but Citibank has refused to credit my bonus points. I have called 8 times over the past 2 months and each representative tells me something different. I have all receipts and statements showing I qualified.",Citibank,MA,Credit Card
10000057,2025-05-28,Chase Sapphire,,Late fee,Payment made on time,I noticed a charge of $3000 on my Chase Sapphire statement from 2025-08-17. I did not authorize this transaction and have been trying to resolve it with Citibank for 7 weeks. They keep transferring me between departments and no one takes responsibility. I have provided documentation proving I was not at the merchant location. This is extremely frustrating and I need this resolved immediately.,Citibank,FL,Credit Card
10001182,2023-06-05,SoFi Personal Loan,,Repayment difficulty,,,SoFi,CO,Personal Loan
10000977,2025-07-16,Marcus Loan,,Loan denial,Unclear denial reasons,"The total cost of my Marcus Loan from Upstart ended up being $15000, which is nearly 2.8 times the original loan amount of $750. The interest rate of 15.5% combined with various processing fees and insurance charges that were added without my clear consent have made this loan predatory in my opinion.",Upstart,UT,Personal Loan
10000591,2024-09-10,Chase Sapphire,,Credit limit reduction,Reduced without notice,"The rewards program on my Chase Sapphire card was changed without notice. Discover devalued the points by nearly 41%, making the annual fee of $150 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",Discover,IN,Credit Card
10001469,2025-08-12,Discover Savings,,Low interest rate,Rate lower than advertised,"Synchrony closed my Discover Savings account without warning, citing 'business reasons.' I had $250 in the account and it took 6 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 2 years with no suspicious activity on the account.",Synchrony,CT,Savings Account
