complaint_id,product_category,chunk
10002155,Money Transfer,i accidentally sent to the wrong person through venmo via zelle i realized the error within minutes and immediately contacted them to cancel they said the transaction was already completed and they cannot reverse it they suggested i ask the recipient nicely to send it back this is an unacceptable
10002155,Money Transfer,nicely to send it back this is an unacceptable response for such a large amount
10001646,Savings Account,my marcus savings with goldman sachs was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this goldman sachs took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking
10001646,Savings Account,about the security of their online banking platform and how this person gained access
10000694,Credit Card,i have been a loyal discover it cardholder with discover for over years recently i noticed my interest rate was increased from to without adequate explanation i have excellent payment history and no late payments other companies are offering much lower rates i am considering closing this account if
10000694,Credit Card,rates i am considering closing this account if the rate is not adjusted
10001616,Savings Account,i opened a synchrony savings with synchrony because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically
10001616,Savings Account,opening i moved into this account specifically for the higher rate
10001235,Savings Account,my ally savings with chase was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this chase took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and how this
10001235,Savings Account,of their online banking platform and how this person gained access
10001212,Savings Account,ally bank closed my ally savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
10000679,Credit Card,the rewards program on my capital one venture card was changed without notice chase devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be grandfathered
10000679,Credit Card,tactic longtime customers should be grandfathered into the original rewards program
10000030,Credit Card,the rewards program on my discover it card was changed without notice discover devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be grandfathered into
10000030,Credit Card,longtime customers should be grandfathered into the original rewards program
10001423,Savings Account,i opened a ally savings with synchrony because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for
10001423,Savings Account,i moved into this account specifically for the higher rate
10001221,Savings Account,i opened a chase savings with ally bank because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for
10001221,Savings Account,i moved into this account specifically for the higher rate
10001081,Personal Loan,i have been making regular payments on my sofi personal loan from prosper for months last month they claimed they did not receive my payment even though my bank shows it was debited they charged me a late fee and reported a missed payment to the credit bureaus dropping my score by points i need this
10001081,Personal Loan,bureaus dropping my score by points i need this corrected immediately
10001118,Personal Loan,lendingclub sold my marcus loan loan to a thirdparty debt collector without notifying me the collector is now adding additional fees and interest that were not part of my original agreement they call me times per day including on weekends and have been rude and threatening this is harassment and a
10001118,Personal Loan,rude and threatening this is harassment and a violation of fair debt collection practices
10001986,Money Transfer,i sent via venmo through venmo to pay my landlord the money was deducted from my account but never received by the recipient it has been weeks and venmo has not been able to locate the funds or provide a refund i am now at risk of eviction because my rent appears unpaid
10001667,Savings Account,my discover savings with discover was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this discover took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and
10001667,Savings Account,the security of their online banking platform and how this person gained access
10001331,Savings Account,chase closed my ally savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
10000433,Credit Card,my capital one venture card from american express suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively
10000433,Credit Card,me a clear answer this reduction has negatively affected my credit utilization ratio and dropped my score by points
10000941,Personal Loan,i took out a personal loan of with sofi through their prosper loan program the advertised rate was but after approval i was given the terms were buried in fine print and the loan officer rushed me through the signing process i am now paying per month which is more than what was originally quoted
10000760,Credit Card,my chase sapphire card from citibank suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively affected my credit
10000760,Credit Card,this reduction has negatively affected my credit utilization ratio and dropped my score by points
10001055,Personal Loan,i tried to make an extra payment on my lendingclub loan from prosper to pay down the principal faster their system automatically applied it to future payments instead of the principal balance after calling times each representative gave me different instructions i am paying more interest than
10001055,Personal Loan,instructions i am paying more interest than necessary because they will not properly apply my payments
10000462,Credit Card,i have been a loyal capital one venture cardholder with capital one for over years recently i noticed my interest rate was increased from to without adequate explanation i have excellent payment history and no late payments other companies are offering much lower rates i am considering closing this
10000462,Credit Card,much lower rates i am considering closing this account if the rate is not adjusted
10001984,Money Transfer,western union charged me a fee for a wire transfer transfer that was advertised as free the fee was hidden in the exchange rate markup and only visible after carefully comparing the rates the actual exchange rate applied was worse than the market rate this is deceptive and the total hidden cost was
10000730,Credit Card,i have been a loyal discover it cardholder with american express for over years recently i noticed my interest rate was increased from to without adequate explanation i have excellent payment history and no late payments other companies are offering much lower rates i am considering closing this
10000730,Credit Card,much lower rates i am considering closing this account if the rate is not adjusted
10001935,Money Transfer,venmo charged me a fee for a paypal transfer that was advertised as free the fee was hidden in the exchange rate markup and only visible after carefully comparing the rates the actual exchange rate applied was worse than the market rate this is deceptive and the total hidden cost was
10000964,Personal Loan,upstart sold my upstart loan loan to a thirdparty debt collector without notifying me the collector is now adding additional fees and interest that were not part of my original agreement they call me times per day including on weekends and have been rude and threatening this is harassment and a
10000964,Personal Loan,rude and threatening this is harassment and a violation of fair debt collection practices
10002096,Money Transfer,i was contacted by someone claiming to be from my banks fraud department they convinced me to send via paypal to secure my account i later realized this was a scam and immediately contacted venmo they refused to reverse the transaction saying paypal transfers are final i believe venmo should have
10002096,Money Transfer,transfers are final i believe venmo should have better fraud protection mechanisms
10001084,Personal Loan,upstart sold my lendingclub loan loan to a thirdparty debt collector without notifying me the collector is now adding additional fees and interest that were not part of my original agreement they call me times per day including on weekends and have been rude and threatening this is harassment and a
10001084,Personal Loan,rude and threatening this is harassment and a violation of fair debt collection practices
10001952,Money Transfer,my account was frozen by zelle after i made a venmo transfer of they claimed the transaction was flagged for suspicious activity but i was simply sending money to my family overseas which i do every month it took weeks to get my account unfrozen and i had to provide extensive documentation including
10001952,Money Transfer,had to provide extensive documentation including pay stubs and tax returns
10001436,Savings Account,i tried to withdraw from my ally savings at discover and was told my account was frozen pending a security review no one informed me of any issues beforehand i had bills due and no access to my own money for weeks the customer service was unhelpful and could not tell me when the review would be
10001436,Savings Account,and could not tell me when the review would be completed
10001969,Money Transfer,my account was frozen by venmo after i made a venmo transfer of they claimed the transaction was flagged for suspicious activity but i was simply sending money to my family overseas which i do every month it took weeks to get my account unfrozen and i had to provide extensive documentation including
10001969,Money Transfer,had to provide extensive documentation including pay stubs and tax returns
10002234,Money Transfer,i initiated an international transfer of through western unions paypal service the estimated delivery was days but after weeks the money has still not arrived each time i call they say it is being processed meanwhile the exchange rate has changed significantly costing me an additional in value
10001707,Savings Account,chase closed my marcus savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
10000112,Credit Card,the rewards program on my capital one venture card was changed without notice american express devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be
10000112,Credit Card,baitandswitch tactic longtime customers should be grandfathered into the original rewards program
10001294,Savings Account,discover charged me a monthly maintenance fee on my chase savings that was supposed to be free when i called to dispute they said i did not maintain the minimum balance of even though my statements show i was always above that threshold i want all fees refunded and a guarantee this will not happen
10001294,Savings Account,refunded and a guarantee this will not happen again
10000252,Credit Card,my citi double cash card from capital one suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively affected my
10000252,Credit Card,answer this reduction has negatively affected my credit utilization ratio and dropped my score by points
10000917,Personal Loan,upstart sold my upstart loan loan to a thirdparty debt collector without notifying me the collector is now adding additional fees and interest that were not part of my original agreement they call me times per day including on weekends and have been rude and threatening this is harassment and a
10000917,Personal Loan,rude and threatening this is harassment and a violation of fair debt collection practices
10000230,Credit Card,i noticed a charge of on my discover it statement from i did not authorize this transaction and have been trying to resolve it with discover for weeks they keep transferring me between departments and no one takes responsibility i have provided documentation proving i was not at the merchant
10000230,Credit Card,documentation proving i was not at the merchant location this is extremely frustrating and i need this resolved immediately
10000600,Credit Card,capital one charged me a late fee on my capital one venture card even though i made my payment on time my bank records show the payment was initiated days before the due date when i called to dispute they said the payment was received one day late due to processing time this is unacceptable i should
10000600,Credit Card,to processing time this is unacceptable i should not be penalized for their slow processing system
10000291,Credit Card,my discover it card from discover suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively affected my credit
10000291,Credit Card,this reduction has negatively affected my credit utilization ratio and dropped my score by points
10000423,Credit Card,capital one charged me a late fee on my capital one venture card even though i made my payment on time my bank records show the payment was initiated days before the due date when i called to dispute they said the payment was received one day late due to processing time this is unacceptable i should
10000423,Credit Card,to processing time this is unacceptable i should not be penalized for their slow processing system
10001365,Savings Account,chase closed my chase savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
10002130,Money Transfer,i accidentally sent to the wrong person through paypal via paypal i realized the error within minutes and immediately contacted them to cancel they said the transaction was already completed and they cannot reverse it they suggested i ask the recipient nicely to send it back this is an unacceptable
10002130,Money Transfer,nicely to send it back this is an unacceptable response for such a large amount
10001621,Savings Account,i have been trying to reach ally banks customer service about an issue with my discover savings for weeks wait times exceed minutes and i have been disconnected times after waiting when i finally got through the representative could not resolve my issue and told me to call back this level of service
10001621,Savings Account,and told me to call back this level of service is completely unacceptable for a bank holding my savings
10002074,Money Transfer,i was contacted by someone claiming to be from my banks fraud department they convinced me to send via western union to secure my account i later realized this was a scam and immediately contacted zelle they refused to reverse the transaction saying western union transfers are final i believe zelle
10002074,Money Transfer,western union transfers are final i believe zelle should have better fraud protection mechanisms
10000135,Credit Card,someone made fraudulent purchases on my chase sapphire card totaling i reported this to american express immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a
10000135,Credit Card,a police report and have evidence that i was in a different state when these transactions occurred
10001615,Savings Account,i opened a marcus savings with goldman sachs because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account
10001615,Savings Account,at account opening i moved into this account specifically for the higher rate
10000611,Credit Card,the rewards program on my discover it card was changed without notice chase devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be grandfathered into the
10000611,Credit Card,customers should be grandfathered into the original rewards program
10002071,Money Transfer,i initiated an international transfer of through western unions zelle service the estimated delivery was days but after weeks the money has still not arrived each time i call they say it is being processed meanwhile the exchange rate has changed significantly costing me an additional in value
10000197,Credit Card,i applied for the citi double cash card specifically for the point signup bonus i met all the spending requirements within the specified timeframe but american express has refused to credit my bonus points i have called times over the past months and each representative tells me something different
10000197,Credit Card,each representative tells me something different i have all receipts and statements showing i qualified
10000322,Credit Card,i applied for the chase sapphire card specifically for the point signup bonus i met all the spending requirements within the specified timeframe but american express has refused to credit my bonus points i have called times over the past months and each representative tells me something different i
10000322,Credit Card,representative tells me something different i have all receipts and statements showing i qualified
10001367,Savings Account,chase closed my discover savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
10000479,Credit Card,my chase sapphire card from chase suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively affected my credit
10000479,Credit Card,this reduction has negatively affected my credit utilization ratio and dropped my score by points
10001737,Savings Account,i opened a marcus savings with discover because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for
10001737,Savings Account,i moved into this account specifically for the higher rate
10000219,Credit Card,the rewards program on my discover it card was changed without notice discover devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be grandfathered into
10000219,Credit Card,longtime customers should be grandfathered into the original rewards program
10000101,Credit Card,i noticed a charge of on my discover it statement from i did not authorize this transaction and have been trying to resolve it with chase for weeks they keep transferring me between departments and no one takes responsibility i have provided documentation proving i was not at the merchant location
10000101,Credit Card,proving i was not at the merchant location this is extremely frustrating and i need this resolved immediately
10002004,Money Transfer,i initiated an international transfer of through western unions zelle service the estimated delivery was days but after weeks the money has still not arrived each time i call they say it is being processed meanwhile the exchange rate has changed significantly costing me an additional in value
10000424,Credit Card,i applied for the amex gold card specifically for the point signup bonus i met all the spending requirements within the specified timeframe but citibank has refused to credit my bonus points i have called times over the past months and each representative tells me something different i have all
10000424,Credit Card,tells me something different i have all receipts and statements showing i qualified
10000057,Credit Card,i noticed a charge of on my chase sapphire statement from i did not authorize this transaction and have been trying to resolve it with citibank for weeks they keep transferring me between departments and no one takes responsibility i have provided documentation proving i was not at the merchant
10000057,Credit Card,documentation proving i was not at the merchant location this is extremely frustrating and i need this resolved immediately
10000977,Personal Loan,the total cost of my marcus loan from upstart ended up being which is nearly times the original loan amount of the interest rate of combined with various processing fees and insurance charges that were added without my clear consent have made this loan predatory in my opinion
10000591,Credit Card,the rewards program on my chase sapphire card was changed without notice discover devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be grandfathered into
10000591,Credit Card,longtime customers should be grandfathered into the original rewards program
10001469,Savings Account,synchrony closed my discover savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
10001806,Savings Account,i opened a marcus savings with ally bank because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically
10001806,Savings Account,opening i moved into this account specifically for the higher rate
10001910,Money Transfer,my account was frozen by venmo after i made a wire transfer transfer of they claimed the transaction was flagged for suspicious activity but i was simply sending money to my family overseas which i do every month it took weeks to get my account unfrozen and i had to provide extensive documentation
10001910,Money Transfer,and i had to provide extensive documentation including pay stubs and tax returns
10000756,Credit Card,i have been a loyal chase sapphire cardholder with citibank for over years recently i noticed my interest rate was increased from to without adequate explanation i have excellent payment history and no late payments other companies are offering much lower rates i am considering closing this account
10000756,Credit Card,lower rates i am considering closing this account if the rate is not adjusted
10000989,Personal Loan,i have been making regular payments on my upstart loan from prosper for months last month they claimed they did not receive my payment even though my bank shows it was debited they charged me a late fee and reported a missed payment to the credit bureaus dropping my score by points i need this
10000989,Personal Loan,bureaus dropping my score by points i need this corrected immediately
10001548,Savings Account,i tried to withdraw from my discover savings at ally bank and was told my account was frozen pending a security review no one informed me of any issues beforehand i had bills due and no access to my own money for weeks the customer service was unhelpful and could not tell me when the review would be
10001548,Savings Account,and could not tell me when the review would be completed
10001303,Savings Account,synchrony closed my marcus savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
10000415,Credit Card,someone made fraudulent purchases on my capital one venture card totaling i reported this to american express immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a
10000415,Credit Card,a police report and have evidence that i was in a different state when these transactions occurred
10001308,Savings Account,goldman sachs closed my ally savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
10001076,Personal Loan,the total cost of my prosper loan from lendingclub ended up being which is nearly times the original loan amount of the interest rate of combined with various processing fees and insurance charges that were added without my clear consent have made this loan predatory in my opinion
10001333,Savings Account,i tried to withdraw from my marcus savings at ally bank and was told my account was frozen pending a security review no one informed me of any issues beforehand i had bills due and no access to my own money for weeks the customer service was unhelpful and could not tell me when the review would be
10001333,Savings Account,and could not tell me when the review would be completed
10001692,Savings Account,i have been trying to reach ally banks customer service about an issue with my marcus savings for weeks wait times exceed minutes and i have been disconnected times after waiting when i finally got through the representative could not resolve my issue and told me to call back this level of service
10001692,Savings Account,and told me to call back this level of service is completely unacceptable for a bank holding my savings
10002030,Money Transfer,i accidentally sent to the wrong person through western union via bank of america i realized the error within minutes and immediately contacted them to cancel they said the transaction was already completed and they cannot reverse it they suggested i ask the recipient nicely to send it back this is
10002030,Money Transfer,ask the recipient nicely to send it back this is an unacceptable response for such a large amount
10001172,Personal Loan,i have been making regular payments on my upstart loan from upstart for months last month they claimed they did not receive my payment even though my bank shows it was debited they charged me a late fee and reported a missed payment to the credit bureaus dropping my score by points i need this
10001172,Personal Loan,bureaus dropping my score by points i need this corrected immediately
10001279,Savings Account,i have been trying to reach ally banks customer service about an issue with my ally savings for weeks wait times exceed minutes and i have been disconnected times after waiting when i finally got through the representative could not resolve my issue and told me to call back this level of service is
10001279,Savings Account,and told me to call back this level of service is completely unacceptable for a bank holding my savings
10000248,Credit Card,capital one charged me a late fee on my discover it card even though i made my payment on time my bank records show the payment was initiated days before the due date when i called to dispute they said the payment was received one day late due to processing time this is unacceptable i should not be
10000248,Credit Card,time this is unacceptable i should not be penalized for their slow processing system
10000974,Personal Loan,i took out a personal loan of with sofi through their marcus loan program the advertised rate was but after approval i was given the terms were buried in fine print and the loan officer rushed me through the signing process i am now paying per month which is more than what was originally quoted
10001904,Money Transfer,i was contacted by someone claiming to be from my banks fraud department they convinced me to send via venmo to secure my account i later realized this was a scam and immediately contacted bank of america they refused to reverse the transaction saying venmo transfers are final i believe bank of
10001904,Money Transfer,venmo transfers are final i believe bank of america should have better fraud protection mechanisms
10001002,Personal Loan,i took out a personal loan of with prosper through their sofi personal loan program the advertised rate was but after approval i was given the terms were buried in fine print and the loan officer rushed me through the signing process i am now paying per month which is more than what was originally
10001002,Personal Loan,per month which is more than what was originally quoted
10000486,Credit Card,the rewards program on my amex gold card was changed without notice american express devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be grandfathered
10000486,Credit Card,tactic longtime customers should be grandfathered into the original rewards program
10000097,Credit Card,the rewards program on my chase sapphire card was changed without notice citibank devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be grandfathered into
10000097,Credit Card,longtime customers should be grandfathered into the original rewards program
10001570,Savings Account,i have been trying to reach discovers customer service about an issue with my ally savings for weeks wait times exceed minutes and i have been disconnected times after waiting when i finally got through the representative could not resolve my issue and told me to call back this level of service is
10001570,Savings Account,and told me to call back this level of service is completely unacceptable for a bank holding my savings
10000180,Credit Card,someone made fraudulent purchases on my discover it card totaling i reported this to chase immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a different state
10000180,Credit Card,and have evidence that i was in a different state when these transactions occurred
10001112,Personal Loan,i applied for a upstart loan with prosper and was denied despite having a credit score of and a stable income of per year the denial letter was vague citing insufficient credit history i have years of credit history with no delinquencies i believe this decision was made unfairly and request a proper
10001112,Personal Loan,decision was made unfairly and request a proper review
10001801,Savings Account,i have been trying to reach goldman sachss customer service about an issue with my discover savings for weeks wait times exceed minutes and i have been disconnected times after waiting when i finally got through the representative could not resolve my issue and told me to call back this level of
10001801,Savings Account,my issue and told me to call back this level of service is completely unacceptable for a bank holding my savings
10002259,Money Transfer,i accidentally sent to the wrong person through paypal via venmo i realized the error within minutes and immediately contacted them to cancel they said the transaction was already completed and they cannot reverse it they suggested i ask the recipient nicely to send it back this is an unacceptable
10002259,Money Transfer,nicely to send it back this is an unacceptable response for such a large amount
10001324,Savings Account,discover closed my synchrony savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
