complaint_id,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company,state,product_category,word_count,cleaned_text
10000483,2025-08-12,Citi Double Cash,,Account closure,Closed without explanation,"The rewards program on my Citi Double Cash card was changed without notice. Discover devalued the points by nearly 49%, making the annual fee of $550 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",Discover,GA,Credit Card,56.0,the rewards program on my citi double cash card was changed without notice discover devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be grandfathered into the original rewards program
10002221,2024-05-05,PayPal,,Fraud/scam,Scam transaction,"My account was frozen by Venmo after I made a PayPal transfer of $250. They claimed the transaction was flagged for suspicious activity, but I was simply sending money to my family overseas, which I do every month. It took 8 weeks to get my account unfrozen, and I had to provide extensive documentation including pay stubs and tax returns.",Venmo,PA,Money Transfer,60.0,my account was frozen by venmo after i made a paypal transfer of they claimed the transaction was flagged for suspicious activity but i was simply sending money to my family overseas which i do every month it took weeks to get my account unfrozen and i had to provide extensive documentation including pay stubs and tax returns
10000942,2024-04-27,Upstart Loan,,Payment processing error,Payment not applied correctly,"I tried to make an extra payment on my Upstart Loan from Goldman Sachs to pay down the principal faster. Their system automatically applied it to future payments instead of the principal balance. After calling 3 times, each representative gave me different instructions. I am paying more interest than necessary because they will not properly apply my payments.",Goldman Sachs,NY,Personal Loan,58.0,i tried to make an extra payment on my upstart loan from goldman sachs to pay down the principal faster their system automatically applied it to future payments instead of the principal balance after calling times each representative gave me different instructions i am paying more interest than necessary because they will not properly apply my payments
10001963,2023-10-26,PayPal,,Wrong recipient,Sent to wrong person,Zelle charged me a $39 fee for a PayPal transfer that was advertised as free. The fee was hidden in the exchange rate markup and only visible after carefully comparing the rates. The actual exchange rate applied was 26% worse than the market rate. This is deceptive and the total hidden cost was $150.,Zelle,PA,Money Transfer,54.0,zelle charged me a fee for a paypal transfer that was advertised as free the fee was hidden in the exchange rate markup and only visible after carefully comparing the rates the actual exchange rate applied was worse than the market rate this is deceptive and the total hidden cost was
10000621,2024-11-05,Amex Gold,,Rewards not credited,Sign-up bonus not received,"Citibank charged me a $35 late fee on my Amex Gold card even though I made my payment on time. My bank records show the payment was initiated 1 days before the due date. When I called to dispute, they said the payment was received one day late due to processing time. This is unacceptable — I should not be penalized for their slow processing system.",Citibank,NY,Credit Card,66.0,citibank charged me a late fee on my amex gold card even though i made my payment on time my bank records show the payment was initiated days before the due date when i called to dispute they said the payment was received one day late due to processing time this is unacceptable i should not be penalized for their slow processing system
10000931,2023-08-07,Prosper Loan,,Repayment difficulty,Cannot afford payments,"I took out a personal loan of $100 with Prosper through their Prosper Loan program. The advertised rate was 9.0% but after approval I was given 24.3%. The terms were buried in fine print and the loan officer rushed me through the signing process. I am now paying $250 per month, which is $30 more than what was originally quoted.",Prosper,OK,Personal Loan,60.0,i took out a personal loan of with prosper through their prosper loan program the advertised rate was but after approval i was given the terms were buried in fine print and the loan officer rushed me through the signing process i am now paying per month which is more than what was originally quoted
10001392,2024-09-28,Synchrony Savings,,Unauthorized access,Security breach,"Goldman Sachs charged me a $29 monthly maintenance fee on my Synchrony Savings that was supposed to be free. When I called to dispute, they said I did not maintain the minimum balance of $1500, even though my statements show I was always above that threshold. I want all fees refunded and a guarantee this will not happen again.",Goldman Sachs,TN,Savings Account,59.0,goldman sachs charged me a monthly maintenance fee on my synchrony savings that was supposed to be free when i called to dispute they said i did not maintain the minimum balance of even though my statements show i was always above that threshold i want all fees refunded and a guarantee this will not happen again
10000434,2024-07-18,Capital One Venture,,Late fee,Payment made on time,"I applied for the Capital One Venture card specifically for the 60000 point sign-up bonus. I met all the spending requirements within the specified timeframe, but American Express has refused to credit my bonus points. I have called 9 times over the past 3 months and each representative tells me something different. I have all receipts and statements showing I qualified.",American Express,MO,Credit Card,61.0,i applied for the capital one venture card specifically for the point signup bonus i met all the spending requirements within the specified timeframe but american express has refused to credit my bonus points i have called times over the past months and each representative tells me something different i have all receipts and statements showing i qualified
10002155,2024-05-06,Venmo,,Fraud/scam,Scam transaction,I accidentally sent $2000 to the wrong person through Venmo via Zelle. I realized the error within 82 minutes and immediately contacted them to cancel. They said the transaction was already completed and they cannot reverse it. They suggested I 'ask the recipient nicely' to send it back. This is an unacceptable response for such a large amount.,Zelle,SC,Money Transfer,58.0,i accidentally sent to the wrong person through venmo via zelle i realized the error within minutes and immediately contacted them to cancel they said the transaction was already completed and they cannot reverse it they suggested i ask the recipient nicely to send it back this is an unacceptable response for such a large amount
10001646,2024-09-09,Marcus Savings,,Low interest rate,Rate lower than advertised,"My Marcus Savings with Goldman Sachs was accessed by someone who changed my contact information and attempted to transfer $2000 out of my account. When I reported this, Goldman Sachs took 2 weeks to investigate and temporarily restricted my access. I am concerned about the security of their online banking platform and how this person gained access.",Goldman Sachs,WI,Savings Account,57.0,my marcus savings with goldman sachs was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this goldman sachs took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and how this person gained access
10000694,2024-05-13,Discover It,,Billing dispute,Charges not recognized,"I have been a loyal Discover It cardholder with Discover for over 8 years. Recently, I noticed my interest rate was increased from 6.5% to 28.1% without adequate explanation. I have excellent payment history and no late payments. Other companies are offering much lower rates. I am considering closing this account if the rate is not adjusted.",Discover,GA,Credit Card,57.0,i have been a loyal discover it cardholder with discover for over years recently i noticed my interest rate was increased from to without adequate explanation i have excellent payment history and no late payments other companies are offering much lower rates i am considering closing this account if the rate is not adjusted
10001616,2024-08-09,Synchrony Savings,,Account frozen,Frozen without warning,"I opened a Synchrony Savings with Synchrony because they advertised a 23.8% APY. After three months, the rate was quietly dropped to 4.4% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $1000 into this account specifically for the higher rate.",Synchrony,WI,Savings Account,55.0,i opened a synchrony savings with synchrony because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for the higher rate
10001235,2024-10-10,Ally Savings,,Unauthorized access,Security breach,"My Ally Savings with Chase was accessed by someone who changed my contact information and attempted to transfer $2000 out of my account. When I reported this, Chase took 4 weeks to investigate and temporarily restricted my access. I am concerned about the security of their online banking platform and how this person gained access.",Chase,MN,Savings Account,55.0,my ally savings with chase was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this chase took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and how this person gained access
10001212,2024-01-27,Ally Savings,,Withdrawal limit,Cannot access funds,"Ally Bank closed my Ally Savings account without warning, citing 'business reasons.' I had $750 in the account and it took 4 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 2 years with no suspicious activity on the account.",Ally Bank,AL,Savings Account,51.0,ally bank closed my ally savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
10000679,2023-08-01,Capital One Venture,,Unauthorized charge,Card not in possession,"The rewards program on my Capital One Venture card was changed without notice. Chase devalued the points by nearly 44%, making the annual fee of $250 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",Chase,OK,Credit Card,56.0,the rewards program on my capital one venture card was changed without notice chase devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be grandfathered into the original rewards program
10000030,2023-03-17,Discover It,,Account closure,Closed without explanation,"The rewards program on my Discover It card was changed without notice. Discover devalued the points by nearly 34%, making the annual fee of $395 no longer worth it. I specifically chose this card for its rewards structure and feel this is a bait-and-switch tactic. Long-time customers should be grandfathered into the original rewards program.",Discover,MD,Credit Card,55.0,the rewards program on my discover it card was changed without notice discover devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a baitandswitch tactic longtime customers should be grandfathered into the original rewards program
10001423,2025-08-21,Ally Savings,,Account fees,Unexpected maintenance fees,"I opened a Ally Savings with Synchrony because they advertised a 9.9% APY. After three months, the rate was quietly dropped to 9.1% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $1000 into this account specifically for the higher rate.",Synchrony,SC,Savings Account,55.0,i opened a ally savings with synchrony because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for the higher rate
10001221,2025-11-02,Chase Savings,,Unauthorized access,Security breach,"I opened a Chase Savings with Ally Bank because they advertised a 16.4% APY. After three months, the rate was quietly dropped to 4.2% without notification. When I called, they said the promotional rate had expired, but this was never clearly communicated at account opening. I moved $150 into this account specifically for the higher rate.",Ally Bank,NJ,Savings Account,56.0,i opened a chase savings with ally bank because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for the higher rate
10001081,2024-02-08,SoFi Personal Loan,,Hidden fees,Fees not disclosed at signing,"I have been making regular payments on my SoFi Personal Loan from Prosper for 5 months. Last month, they claimed they did not receive my payment even though my bank shows it was debited. They charged me a $35 late fee and reported a missed payment to the credit bureaus, dropping my score by 28 points. I need this corrected immediately.",Prosper,NC,Personal Loan,61.0,i have been making regular payments on my sofi personal loan from prosper for months last month they claimed they did not receive my payment even though my bank shows it was debited they charged me a late fee and reported a missed payment to the credit bureaus dropping my score by points i need this corrected immediately
10001118,2023-09-23,Marcus Loan,,Repayment difficulty,Cannot afford payments,"LendingClub sold my Marcus Loan loan to a third-party debt collector without notifying me. The collector is now adding additional fees and interest that were not part of my original agreement. They call me 4 times per day, including on weekends, and have been rude and threatening. This is harassment and a violation of fair debt collection practices.",LendingClub,MD,Personal Loan,58.0,lendingclub sold my marcus loan loan to a thirdparty debt collector without notifying me the collector is now adding additional fees and interest that were not part of my original agreement they call me times per day including on weekends and have been rude and threatening this is harassment and a violation of fair debt collection practices
10001986,2025-12-26,Venmo,,Account frozen,Frozen without warning,I sent $5000 via Venmo through Venmo to pay my landlord. The money was deducted from my account but never received by the recipient. It has been 8 weeks and Venmo has not been able to locate the funds or provide a refund. I am now at risk of eviction because my rent appears unpaid.,Venmo,VA,Money Transfer,55.0,i sent via venmo through venmo to pay my landlord the money was deducted from my account but never received by the recipient it has been weeks and venmo has not been able to locate the funds or provide a refund i am now at risk of eviction because my rent appears unpaid
10001667,2023-03-11,Discover Savings,,Poor customer service,Long wait times,"My Discover Savings with Discover was accessed by someone who changed my contact information and attempted to transfer $750 out of my account. When I reported this, Discover took 2 weeks to investigate and temporarily restricted my access. I am concerned about the security of their online banking platform and how this person gained access.",Discover,MI,Savings Account,55.0,my discover savings with discover was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this discover took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and how this person gained access
10001331,2024-04-13,Ally Savings,,Account fees,Unexpected maintenance fees,"Chase closed my Ally Savings account without warning, citing 'business reasons.' I had $1500 in the account and it took 7 weeks to receive a cashier's check. No explanation was ever provided for the closure. I have been a customer for 10 years with no suspicious activity on the account.",Chase,CO,Savings Account,50.0,chase closed my ally savings account without warning citing business reasons i had in the account and it took weeks to receive a cashiers check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account
10000433,2023-12-11,Capital One Venture,,Unauthorized charge,Card not in possession,"My Capital One Venture card from American Express suddenly had its credit limit reduced from $20000 to $2000 without any prior notification. I have never missed a payment and my credit score is above 750. When I called to ask why, the representative could not give me a clear answer. This reduction has negatively affected my credit utilization ratio and dropped my score by 51 points.",American Express,MO,Credit Card,66.0,my capital one venture card from american express suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively affected my credit utilization ratio and dropped my score by points
10000941,2025-08-10,Prosper Loan,,Hidden fees,Fees not disclosed at signing,"I took out a personal loan of $3000 with SoFi through their Prosper Loan program. The advertised rate was 3.9% but after approval I was given 17.7%. The terms were buried in fine print and the loan officer rushed me through the signing process. I am now paying $500 per month, which is $100 more than what was originally quoted.",SoFi,MD,Personal Loan,60.0,i took out a personal loan of with sofi through their prosper loan program the advertised rate was but after approval i was given the terms were buried in fine print and the loan officer rushed me through the signing process i am now paying per month which is more than what was originally quoted
10000760,2024-07-26,Chase Sapphire,,High interest rate,Rate increased without notice,"My Chase Sapphire card from Citibank suddenly had its credit limit reduced from $20000 to $1500 without any prior notification. I have never missed a payment and my credit score is above 750. When I called to ask why, the representative could not give me a clear answer. This reduction has negatively affected my credit utilization ratio and dropped my score by 45 points.",Citibank,TN,Credit Card,64.0,my chase sapphire card from citibank suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively affected my credit utilization ratio and dropped my score by points
10001055,2024-11-15,LendingClub Loan,,High interest rate,Rate increased without notice,"I tried to make an extra payment on my LendingClub Loan from Prosper to pay down the principal faster. Their system automatically applied it to future payments instead of the principal balance. After calling 8 times, each representative gave me different instructions. I am paying more interest than necessary because they will not properly apply my payments.",Prosper,CO,Personal Loan,57.0,i tried to make an extra payment on my lendingclub loan from prosper to pay down the principal faster their system automatically applied it to future payments instead of the principal balance after calling times each representative gave me different instructions i am paying more interest than necessary because they will not properly apply my payments
10000462,2025-10-04,Capital One Venture,,Rewards not credited,Sign-up bonus not received,"I have been a loyal Capital One Venture cardholder with Capital One for over 13 years. Recently, I noticed my interest rate was increased from 3.4% to 18.5% without adequate explanation. I have excellent payment history and no late payments. Other companies are offering much lower rates. I am considering closing this account if the rate is not adjusted.",Capital One,MI,Credit Card,59.0,i have been a loyal capital one venture cardholder with capital one for over years recently i noticed my interest rate was increased from to without adequate explanation i have excellent payment history and no late payments other companies are offering much lower rates i am considering closing this account if the rate is not adjusted
10001984,2023-08-15,Wire Transfer,,Account frozen,Frozen without warning,Western Union charged me a $35 fee for a Wire Transfer transfer that was advertised as free. The fee was hidden in the exchange rate markup and only visible after carefully comparing the rates. The actual exchange rate applied was 50% worse than the market rate. This is deceptive and the total hidden cost was $75.,Western Union,MO,Money Transfer,56.0,western union charged me a fee for a wire transfer transfer that was advertised as free the fee was hidden in the exchange rate markup and only visible after carefully comparing the rates the actual exchange rate applied was worse than the market rate this is deceptive and the total hidden cost was
10000730,2023-12-25,Discover It,,Rewards not credited,Sign-up bonus not received,"I have been a loyal Discover It cardholder with American Express for over 2 years. Recently, I noticed my interest rate was increased from 4.8% to 26.6% without adequate explanation. I have excellent payment history and no late payments. Other companies are offering much lower rates. I am considering closing this account if the rate is not adjusted.",American Express,FL,Credit Card,58.0,i have been a loyal discover it cardholder with american express for over years recently i noticed my interest rate was increased from to without adequate explanation i have excellent payment history and no late payments other companies are offering much lower rates i am considering closing this account if the rate is not adjusted
10001935,2025-10-17,PayPal,,Fraud/scam,Scam transaction,Venmo charged me a $35 fee for a PayPal transfer that was advertised as free. The fee was hidden in the exchange rate markup and only visible after carefully comparing the rates. The actual exchange rate applied was 46% worse than the market rate. This is deceptive and the total hidden cost was $150.,Venmo,OH,Money Transfer,54.0,venmo charged me a fee for a paypal transfer that was advertised as free the fee was hidden in the exchange rate markup and only visible after carefully comparing the rates the actual exchange rate applied was worse than the market rate this is deceptive and the total hidden cost was
10000964,2025-09-14,Upstart Loan,,Payment processing error,Payment not applied correctly,"Upstart sold my Upstart Loan loan to a third-party debt collector without notifying me. The collector is now adding additional fees and interest that were not part of my original agreement. They call me 7 times per day, including on weekends, and have been rude and threatening. This is harassment and a violation of fair debt collection practices.",Upstart,PA,Personal Loan,58.0,upstart sold my upstart loan loan to a thirdparty debt collector without notifying me the collector is now adding additional fees and interest that were not part of my original agreement they call me times per day including on weekends and have been rude and threatening this is harassment and a violation of fair debt collection practices
10002096,2025-05-22,PayPal,,High fees,Hidden exchange fees,"I was contacted by someone claiming to be from my bank's fraud department. They convinced me to send $50 via PayPal to 'secure' my account. I later realized this was a scam and immediately contacted Venmo. They refused to reverse the transaction, saying PayPal transfers are final. I believe Venmo should have better fraud protection mechanisms.",Venmo,NC,Money Transfer,56.0,i was contacted by someone claiming to be from my banks fraud department they convinced me to send via paypal to secure my account i later realized this was a scam and immediately contacted venmo they refused to reverse the transaction saying paypal transfers are final i believe venmo should have better fraud protection mechanisms
10001084,2024-02-11,LendingClub Loan,,High interest rate,Rate increased without notice,"Upstart sold my LendingClub Loan loan to a third-party debt collector without notifying me. The collector is now adding additional fees and interest that were not part of my original agreement. They call me 9 times per day, including on weekends, and have been rude and threatening. This is harassment and a violation of fair debt collection practices.",Upstart,SC,Personal Loan,58.0,upstart sold my lendingclub loan loan to a thirdparty debt collector without notifying me the collector is now adding additional fees and interest that were not part of my original agreement they call me times per day including on weekends and have been rude and threatening this is harassment and a violation of fair debt collection practices
10001952,2023-09-24,Venmo,,Delayed transfer,Transfer taking too long,"My account was frozen by Zelle after I made a Venmo transfer of $1500. They claimed the transaction was flagged for suspicious activity, but I was simply sending money to my family overseas, which I do every month. It took 1 weeks to get my account unfrozen, and I had to provide extensive documentation including pay stubs and tax returns.",Zelle,UT,Money Transfer,60.0,my account was frozen by zelle after i made a venmo transfer of they claimed the transaction was flagged for suspicious activity but i was simply sending money to my family overseas which i do every month it took weeks to get my account unfrozen and i had to provide extensive documentation including pay stubs and tax returns
10001436,2024-04-03,Ally Savings,,Low interest rate,Rate lower than advertised,I tried to withdraw $500 from my Ally Savings at Discover and was told my account was frozen pending a security review. No one informed me of any issues beforehand. I had bills due and no access to my own money for 2 weeks. The customer service was unhelpful and could not tell me when the review would be completed.,Discover,UT,Savings Account,60.0,i tried to withdraw from my ally savings at discover and was told my account was frozen pending a security review no one informed me of any issues beforehand i had bills due and no access to my own money for weeks the customer service was unhelpful and could not tell me when the review would be completed
10001969,2024-12-01,Venmo,,Delayed transfer,Transfer taking too long,"My account was frozen by Venmo after I made a Venmo transfer of $250. They claimed the transaction was flagged for suspicious activity, but I was simply sending money to my family overseas, which I do every month. It took 4 weeks to get my account unfrozen, and I had to provide extensive documentation including pay stubs and tax returns.",Venmo,NY,Money Transfer,60.0,my account was frozen by venmo after i made a venmo transfer of they claimed the transaction was flagged for suspicious activity but i was simply sending money to my family overseas which i do every month it took weeks to get my account unfrozen and i had to provide extensive documentation including pay stubs and tax returns
10002234,2023-03-27,PayPal,,High fees,Hidden exchange fees,"I initiated an international transfer of $3000 through Western Union's PayPal service. The estimated delivery was 2 days, but after 5 weeks the money has still not arrived. Each time I call, they say it is 'being processed.' Meanwhile, the exchange rate has changed significantly, costing me an additional $50 in value.",Western Union,OR,Money Transfer,52.0,i initiated an international transfer of through western unions paypal service the estimated delivery was days but after weeks the money has still not arrived each time i call they say it is being processed meanwhile the exchange rate has changed significantly costing me an additional in value
